city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
锡林郭勒盟,17,7,15,0.3,14,53,32,25
林芝地区,18,4,16,0.35,6,51,35,3
文山州,20,10,19,0.75,8,52,37,6
阿坝州,22,7,16,0.43,5,67,39,7
西双版纳州,23,13,22,0.95,18,12,8,11
通辽,23,7,21,0.4,6,60,45,9
遵义,24,15,23,1.2,35,19,24,10
玉溪,25,11,24,0.77,12,45,20,8
红河州,25,16,24,0.57,8,49,39,9
呼伦贝尔,26,13,25,0.45,11,54,47,7
日喀则,26,7,16,0.25,3,81,44,6
凉山州,26,9,19,0.68,18,81,45,16
大理州,26,14,20,0.6,16,53,50,4
玉树州,26,3,18,0.6,1,80,40,2
辽源,28,17,27,0.8,10,55,39,10
日喀则地区,29,6,27,0.35,2,68,56,5
曲靖,29,16,28,0.65,10,62,32,13
昌都地区,29,6,12,0.7,11,86,57,8
齐齐哈尔,29,16,28,0.5,10,69,55,15
张家口,30,11,26,0.6,9,67,58,9
三沙,30,7,20,0.3,30,51,58,6
瓦房店,30,16,29,0.45,14,52,43,15
丹东,30,13,29,1.13,10,58,44,14
乌兰察布,31,5,13,0.35,4,76,61,22
黑河,31,13,26,0.67,7,72,61,15
兴安盟,31,3,12,0.33,2,66,60,8
文登,32,16,31,0.85,17,56,24,8
沈阳,33,15,32,0.51,13,58,34,14
大庆,33,23,32,0.58,16,52,32,14
舟山,33,19,28,0.87,13,82,65,7
蓬莱,33,15,32,1.1,14,54,46,12
辽阳,34,14,33,0.48,9,60,32,18
烟台,34,19,33,0.58,16,57,32,11
荣成,34,17,33,0.6,10,62,53,9
呼和浩特,34,5,33,0.79,15,66,54,12
昆明,34,18,33,0.86,22,43,21,15
大兴安岭地区,35,13,21,0.5,11,71,69,24
承德,35,16,34,0.36,8,64,19,9
鹤岗,36,22,35,0.6,9,73,70,11
拉萨,36,10,34,0.67,8,90,70,6
博州,36,25,31,0.85,12,39,34,11
北京,36,20,35,0.63,24,44,18,7
抚顺,38,17,37,0.53,13,56,28,13
普洱,38,16,37,0.5,9,55,30,6
白城,39,15,38,0.5,13,76,56,12
威海,39,16,38,0.57,13,59,51,8
铜仁地区,39,22,38,1.45,19,37,30,5
大连,39,18,38,0.7,16,57,40,15
营口,40,21,39,0.33,22,59,35,26
山南地区,40,5,21,0.45,6,65,79,4
